64	64	1	60
0	0		
1	1		
2	3		
3	5		
4	4		
5	5		
6	7		
7	4		
8	6		
9	10		
10	12		
11	15		
12	10		
13	14		
14	15		
15	22		
16	20		
17	18		
18	28		
19	38		
20	44		
21	56		
22	70		
23	90		
24	120		
25	150		
26	192		
27	210		
28	192		
29	172		
30	132		
31	100		
32	89		
33	78		
34	72		
35	80		
36	90		
37	100		
38	120		
39	165		
40	188		
41	190		
42	188		
43	170		
44	165		
45	120		
46	90		
47	80		
48	70		
49	60		
50	54		
51	35		
52	31		
53	21		
54	19		
55	12		
56	10		
57	9		
58	11		
59	8		
60	6		
61	0		
62	0		
63	0		
