64	64	0	63
0	10		
1	14		
2	17		
3	20		
4	22		
5	31		
6	28		
7	33		
8	45		
9	56		
10	70		
11	90		
12	120		
13	150		
14	192		
15	210		
16	192		
17	172		
18	132		
19	100		
20	89		
21	78		
22	42		
23	20		
24	18		
25	10		
26	9		
27	8		
28	8		
29	7		
30	6		
31	5		
32	4		
33	4		
34	6		
35	8		
36	10		
37	12		
38	22		
39	26		
40	40		
41	45		
42	72		
43	80		
44	90		
45	100		
46	120		
47	150		
48	188		
49	190		
50	170		
51	140		
52	120		
53	110		
54	90		
55	80		
56	70		
57	60		
58	30		
59	20		
60	12		
61	9		
62	8		
63	6		
